method,mean_infected,stderr_across_egos
greedy_blocking,44.208333333333336,1.9003494744388465
top_degree_blocking,44.26041666666667,1.8951559381994378
pagerank_blocking,44.625,1.8821238126904136
fairness_aware_greedy_blocking,44.640625,2.088177960850214
random_blocking,53.59375,3.374062155361211
no_intervention,59.078125,3.5865958883809195
