ego_id,ego_label,matrix_role,community_source,seed_strategy,propagation_regime,p,severity_regime,severity_score,severity_label,base_harm_weight,propagation_mode,propagation_multiplier,budget_requested,budget_sanitized,budget_k,max_blockers_graph,greedy_pool_size,pool_may_limit_greedy_family,method,method_objective_family,mean_infected,std_infected,mean_infected_stderr,mean_total_harm,std_total_harm,mean_total_harm_stderr,mean_harm_per_node,mean_infection_rate,mean_worst_community_infection_rate,mean_worst_community_harm_rate,runtime_seconds,n_runs_eval,n_runs_greedy_oracle,blocked_nodes_json,seeds_json
18534908,moderate_large_circles,primary,circles,high_degree,medium,0.03,high,0.695,high,2.4,constant,1.0,10,10,10,175,19,False,top_degree_blocking,heuristic_baseline,44.21875,6.964121763401605,1.231094430977523,106.12500000000009,16.71389223216389,2.9546266343460617,0.5736486486486491,0.2390202702702702,0.4271766377005348,1.0252239304812834,0.0254,32,32,"[4777911, 11991892, 14575292, 14631169, 16358736, 16371223, 18396537, 19576151, 27403903, 32805127]","[12771872, 15578561, 16371487, 18729482, 18794888, 19597106, 20101482, 30007505, 33080180, 114636253]"
18534908,moderate_large_circles,primary,circles,high_degree,medium,0.03,high,0.695,high,2.4,constant,1.0,10,10,10,175,19,False,pagerank_blocking,heuristic_baseline,44.84375,6.744696243668416,1.1923051127353428,107.62500000000009,16.187270984804236,2.8615322705648296,0.5817567567567572,0.2423986486486486,0.460766209893048,1.1058389037433156,0.02566,32,32,"[3991341, 4777911, 7861312, 11991892, 14575292, 16358736, 16371223, 19576151, 27403903, 31353077]","[12771872, 15578561, 16371487, 18729482, 18794888, 19597106, 20101482, 30007505, 33080180, 114636253]"
18534908,moderate_large_circles,primary,circles,high_degree,medium,0.03,high,0.695,high,2.4,constant,1.0,10,10,10,175,19,False,greedy_blocking,binary_objective,44.21875,6.4494779733736785,1.1401174025214498,106.12500000000009,15.478747136096866,2.736281766051486,0.5736486486486491,0.2390202702702702,0.4172604509461127,1.0014250822706705,0.02569,32,32,"[4777911, 10779412, 11991892, 14575292, 16358736, 16371223, 18396537, 18701960, 19576151, 27403903]","[12771872, 15578561, 16371487, 18729482, 18794888, 19597106, 20101482, 30007505, 33080180, 114636253]"
18534908,moderate_large_circles,primary,circles,high_degree,medium,0.03,high,0.695,high,2.4,constant,1.0,10,10,10,175,19,False,fairness_aware_greedy_blocking,binary_objective,44.9375,7.335013248443299,1.2966594020168556,107.85000000000008,17.60403179626396,3.1119825648404613,0.5829729729729735,0.2429054054054054,0.4668863764911558,1.1205273035787742,0.02552,32,32,"[1699641, 4777911, 10779412, 10940912, 11991892, 14631169, 16358736, 16371223, 18701960, 19576151]","[12771872, 15578561, 16371487, 18729482, 18794888, 19597106, 20101482, 30007505, 33080180, 114636253]"
18534908,moderate_large_circles,primary,circles,high_degree,medium,0.03,high,0.695,high,2.4,constant,1.0,10,10,10,175,19,False,harm_aware_greedy_blocking,harm_objective,44.625,6.543896442117745,1.156808387400995,107.10000000000008,15.705351461082628,2.776340129762394,0.5789189189189193,0.2412162162162162,0.4036138034759358,0.968673128342246,0.02559,32,32,"[4777911, 10779412, 10940912, 14631169, 16358736, 16371223, 18794066, 19576151, 27403903, 32805127]","[12771872, 15578561, 16371487, 18729482, 18794888, 19597106, 20101482, 30007505, 33080180, 114636253]"
18534908,moderate_large_circles,primary,circles,high_degree,medium,0.03,high,0.695,high,2.4,constant,1.0,10,10,10,175,19,False,harm_aware_resilience_greedy_blocking,harm_objective,44.0,6.8955338514703985,1.2189696865690276,105.60000000000008,16.549281243529,2.9255272477656735,0.5708108108108112,0.2378378378378378,0.4461814839572192,1.0708355614973262,0.02483,32,32,"[4777911, 10779412, 10940912, 11991892, 14575292, 14631169, 16358736, 19576151, 31353077, 32805127]","[12771872, 15578561, 16371487, 18729482, 18794888, 19597106, 20101482, 30007505, 33080180, 114636253]"
88639412,large_circles,primary,circles,high_degree,medium,0.03,high,0.695,high,2.4,constant,1.0,10,10,10,229,18,False,top_degree_blocking,heuristic_baseline,38.15625,7.326969073665564,1.2952373793832592,91.57500000000005,17.584725776797395,3.1085697105198293,0.3831589958158998,0.1596495815899581,0.3510354662698413,0.842485119047619,0.0199,32,32,"[14306161, 17020962, 17753033, 18713254, 19562228, 19705747, 39974930, 41596377, 42534611, 102349515]","[15439395, 15820664, 17208738, 19332267, 20984259, 33350096, 36695656, 44527648, 46248315, 63228090]"
88639412,large_circles,primary,circles,high_degree,medium,0.03,high,0.695,high,2.4,constant,1.0,10,10,10,229,18,False,pagerank_blocking,heuristic_baseline,38.84375,7.746422171016301,1.369386911764861,93.22500000000004,18.591413210439164,3.2865285882356736,0.3900627615062764,0.162526150627615,0.3572048611111111,0.8572916666666666,0.0205,32,32,"[14230524, 17020962, 17753033, 18713254, 19562228, 19705747, 39974930, 42534611, 102349515, 171005817]","[15439395, 15820664, 17208738, 19332267, 20984259, 33350096, 36695656, 44527648, 46248315, 63228090]"
88639412,large_circles,primary,circles,high_degree,medium,0.03,high,0.695,high,2.4,constant,1.0,10,10,10,229,18,False,greedy_blocking,binary_objective,38.21875,7.732355043331173,1.366900171420368,91.72500000000004,18.55765210399486,3.280560411408892,0.3837866108786613,0.1599110878661087,0.3655712182971014,0.8773709239130434,0.01968,32,32,"[14306161, 17753033, 19562228, 19705747, 20155652, 24447643, 39974930, 41596377, 42534611, 102349515]","[15439395, 15820664, 17208738, 19332267, 20984259, 33350096, 36695656, 44527648, 46248315, 63228090]"
88639412,large_circles,primary,circles,high_degree,medium,0.03,high,0.695,high,2.4,constant,1.0,10,10,10,229,18,False,fairness_aware_greedy_blocking,binary_objective,38.125,7.93420524710735,1.4025825833888734,91.50000000000006,19.04209259305768,3.3661982001333035,0.3828451882845191,0.1595188284518828,0.3292100694444444,0.7901041666666666,0.01987,32,32,"[14230524, 14306161, 17020962, 19562228, 19705747, 20155652, 24447643, 39974930, 41596377, 42534611]","[15439395, 15820664, 17208738, 19332267, 20984259, 33350096, 36695656, 44527648, 46248315, 63228090]"
