ego_id,ego_label,community_source,seed_strategy,propagation_regime,p,propagation_mode,propagation_multiplier,severity_regime,severity_score,base_harm_weight,budget_requested,budget_sanitized,budget_k,greedy_pool_size,pool_may_limit_greedy_family,method,method_objective_family,mean_infected,std_infected,mean_infected_stderr,mean_total_harm,std_total_harm,mean_total_harm_stderr,mean_harm_per_node,mean_worst_community_infection_rate,mean_worst_community_harm_rate,runtime_seconds,n_runs_eval,n_runs_greedy_oracle,blocked_nodes_json,seeds_json
18534908,moderate_large_circles,circles,high_degree,medium,0.03,constant,1.0,high,0.695,2.4,10,10,10,19,False,top_degree_blocking,heuristic_baseline,47.96875,6.26554518390961,1.1076023718432997,115.1250000000001,15.037308441383098,2.6582456924239253,0.6222972972972979,0.432733121657754,1.0385594919786096,0.02617,32,32,"[4777911, 11991892, 14575292, 14631169, 16358736, 16371223, 18396537, 19576151, 27403903, 32805127]","[12771872, 15578561, 16371487, 18729482, 18794888, 19597106, 20101482, 30007505, 33080180, 114636253]"
18534908,moderate_large_circles,circles,high_degree,medium,0.03,constant,1.0,high,0.695,2.4,10,10,10,19,False,pagerank_blocking,heuristic_baseline,48.4375,6.415392276744745,1.1340918457145033,116.25000000000011,15.396941464187424,2.721820429714814,0.628378378378379,0.48512700534759357,1.1643048128342248,0.02649,32,32,"[3991341, 4777911, 7861312, 11991892, 14575292, 16358736, 16371223, 19576151, 27403903, 31353077]","[12771872, 15578561, 16371487, 18729482, 18794888, 19597106, 20101482, 30007505, 33080180, 114636253]"
18534908,moderate_large_circles,circles,high_degree,medium,0.03,constant,1.0,high,0.695,2.4,10,10,10,19,False,greedy_blocking,binary_objective,48.6875,6.831792378049423,1.207701679544329,116.85000000000011,16.396301707318656,2.898484030906397,0.6316216216216222,0.4545329211229947,1.0908790106951876,0.02736,32,32,"[4777911, 10779412, 10940912, 11991892, 14575292, 14631169, 16358736, 18713254, 19576151, 32805127]","[12771872, 15578561, 16371487, 18729482, 18794888, 19597106, 20101482, 30007505, 33080180, 114636253]"
18534908,moderate_large_circles,circles,high_degree,medium,0.03,constant,1.0,high,0.695,2.4,10,10,10,19,False,fairness_aware_greedy_blocking,binary_objective,48.46875,6.628308668616121,1.171730501844009,116.3250000000001,15.907940804678727,2.812153204425628,0.6287837837837843,0.4232411430481283,1.015778743315508,0.0266,32,32,"[1699641, 4777911, 11991892, 14575292, 16358736, 16371223, 18396537, 18701960, 19576151, 27403903]","[12771872, 15578561, 16371487, 18729482, 18794888, 19597106, 20101482, 30007505, 33080180, 114636253]"
18534908,moderate_large_circles,circles,high_degree,medium,0.03,constant,1.0,high,0.695,2.4,10,10,10,19,False,harm_aware_greedy_blocking,harm_objective,48.5625,6.455492784968023,1.14118068103793,116.55000000000011,15.49318268392329,2.738833634491038,0.6300000000000006,0.466677807486631,1.1200267379679145,0.02695,32,32,"[3991341, 4777911, 10779412, 11991892, 14631169, 16358736, 16371223, 18396537, 19576151, 27403903]","[12771872, 15578561, 16371487, 18729482, 18794888, 19597106, 20101482, 30007505, 33080180, 114636253]"
18534908,moderate_large_circles,circles,high_degree,medium,0.03,constant,1.0,high,0.695,2.4,10,10,10,19,False,harm_aware_resilience_greedy_blocking,harm_objective,48.21875,7.060724512765052,1.2481715457665625,115.72500000000011,16.945738830636166,2.995611709839757,0.6255405405405411,0.44341995320855615,1.064207887700535,0.02597,32,32,"[4777911, 10940912, 11991892, 14631169, 16358736, 16371223, 18396537, 19576151, 27403903, 32805127]","[12771872, 15578561, 16371487, 18729482, 18794888, 19597106, 20101482, 30007505, 33080180, 114636253]"
18534908,moderate_large_circles,circles,high_degree,medium,0.03,constant,1.0,medium,0.49,1.6,20,20,0,19,True,no_intervention,heuristic_baseline,62.65625,8.299278534520237,1.4671190326788028,100.2499999999999,13.278845655232335,2.347390452286077,0.5418918918918914,0.5659592245989304,0.9055347593582886,0.03474,32,32,[],"[12771872, 15578561, 16371487, 18729482, 18794888, 19597106, 20101482, 30007505, 33080180, 114636253]"
18534908,moderate_large_circles,circles,high_degree,medium,0.03,constant,1.0,medium,0.49,1.6,20,20,20,19,True,random_blocking,heuristic_baseline,53.59375,6.714737642894414,1.1870091302948034,85.74999999999994,10.743580228631023,1.8992146084716786,0.4635135135135132,0.5446732954545455,0.8714772727272728,0.03072,32,32,"[692513, 1183041, 11625912, 11991892, 15398649, 16755150, 18705330, 19772827, 20264425, 20516554, 21341573, 24636449, 36521667, 50393960, 71333777, 76585950, 76774950, 128956175, 161801527, 170214589]","[12771872, 15578561, 16371487, 18729482, 18794888, 19597106, 20101482, 30007505, 33080180, 114636253]"
18534908,moderate_large_circles,circles,high_degree,medium,0.03,constant,1.0,medium,0.49,1.6,20,20,20,19,True,top_degree_blocking,heuristic_baseline,38.125,5.481640912790092,0.9690263653658725,61.00000000000003,8.770625460464142,1.550442184585395,0.32972972972972986,0.3560035093582888,0.5696056149732622,0.01987,32,32,"[1699641, 3991341, 4777911, 10779412, 10940912, 11991892, 14575292, 14631169, 16358736, 16371223, 18396537, 18701960, 18705330, 18794066, 19576151, 20091323, 21031864, 27403903, 31353077, 32805127]","[12771872, 15578561, 16371487, 18729482, 18794888, 19597106, 20101482, 30007505, 33080180, 114636253]"
18534908,moderate_large_circles,circles,high_degree,medium,0.03,constant,1.0,medium,0.49,1.6,20,20,20,19,True,pagerank_blocking,heuristic_baseline,38.59375,5.216965964137368,0.9222380026152369,61.75000000000003,8.347145542619783,1.475580804184378,0.3337837837837839,0.35808823529411765,0.5729411764705884,0.02041,32,32,"[1699641, 3991341, 4777911, 7861312, 10779412, 10940912, 11991892, 14575292, 14631169, 15698746, 16358736, 16371223, 18396537, 18701960, 18713254, 18794066, 19576151, 27403903, 31353077, 32805127]","[12771872, 15578561, 16371487, 18729482, 18794888, 19597106, 20101482, 30007505, 33080180, 114636253]"
