method,mean_infected,se_infected,mean_total_harm,se_total_harm,mean_worst_community_harm_rate,n_cells
top_degree_blocking,43.0,1.6208380194876557,68.8,2.5933408311802455,0.6280898563857149,4
harm_aware_resilience_greedy_blocking,43.21875,1.8034977589857621,69.15,2.8855964143772135,0.6217836171593902,4
pagerank_blocking,43.3125,1.4897108045691285,69.3,2.3835372873106024,0.6403037554035802,4
fairness_aware_greedy_blocking,43.4296875,1.727787555586503,69.4875,2.764460088938399,0.6286167381771748,4
greedy_blocking,43.46875,1.7577488414399065,69.55,2.812398146303844,0.6278035597372373,4
harm_aware_greedy_blocking,43.59375,1.629850533152248,69.75,2.6077608530435885,0.638356805882822,4
random_blocking,51.5234375,2.814101829727012,82.43749999999996,4.502562927563203,0.7161498742959957,4
no_intervention,56.4140625,3.640219822767976,90.26249999999993,5.824351716428743,0.7987304676478566,4
