method,mean_infected_mean,mean_infected_std_across_egos,mean_infected_stderr_of_mean,worst_comm_mean,n_ego_cells,avg_mc_stderr
fairness_aware_greedy_blocking,44.640625,4.176355921700427,2.088177960850214,0.39395030112748386,4,1.0787549461090105
greedy_blocking,44.208333333333336,3.800698948877693,1.9003494744388465,0.39044743684068406,4,1.0443496664526397
no_intervention,59.078125,7.173191776761839,3.5865958883809195,0.5211988325059644,4,1.4325170398811964
pagerank_blocking,44.625,3.7642476253808286,1.8821238126904136,0.422799931060653,4,1.0710448427052985
random_blocking,53.59375,6.748124310722422,3.374062155361211,0.47540364857693534,4,1.2957647315742502
top_degree_blocking,44.26041666666667,3.7903118763988766,1.8951559381994378,0.40171139506730813,4,1.0577428938414228
