ego_label,seed_strategy,propagation_regime,propagation_mode,severity_regime,budget_requested,method,mean_total_harm,mean_worst_community_harm_rate,delta_harm_vs_greedy,delta_worst_harm_vs_greedy,delta_harm_vs_fairness,delta_worst_harm_vs_fairness
large_circles,community_concentrated,high,constant,high,10,harm_aware_greedy_blocking,157.35000000000022,1.170535714285714,-7.049999999999983,-0.24032738095238093,-9.0,-0.021428571428571574
large_circles,community_concentrated,high,constant,medium,10,harm_aware_greedy_blocking,106.94999999999986,0.8714285714285714,-4.34999999999998,-0.09603174603174591,-5.299999999999997,0.06309286576949624
moderate_large_circles,high_degree,high,bucket,medium,10,harm_aware_resilience_greedy_blocking,118.79999999999984,1.0455080213903742,-4.249999999999957,-0.016791443850267207,-3.049999999999983,0.014385026737968154
moderate_large_circles,high_degree,high,bucket,medium,10,harm_aware_greedy_blocking,119.79999999999984,1.0601069518716573,-3.2499999999999574,-0.0021925133689841836,-2.049999999999983,0.028983957219251177
moderate_large_circles,community_concentrated,high,constant,high,10,harm_aware_greedy_blocking,175.50000000000023,1.4965508021390386,-2.4750000000000227,-0.045160427807486636,-1.3500000000000227,-0.02534759358288774
moderate_large_circles,community_concentrated,medium,bucket,high,10,harm_aware_greedy_blocking,125.10000000000012,1.1393953105717816,-1.7249999999999943,0.017924722336486676,-0.45000000000000284,0.02618675442204843
large_circles,community_concentrated,high,constant,high,10,harm_aware_resilience_greedy_blocking,162.82500000000022,1.1947450828157349,-1.5749999999999886,-0.21611801242236006,-3.5250000000000057,0.002780797101449295
moderate_large_circles,community_concentrated,medium,constant,high,10,harm_aware_greedy_blocking,112.87500000000009,1.0221256684491982,-1.4250000000000114,-0.05522727272727268,-1.6499999999999915,-0.04641377005347591
large_circles,high_degree,high,bucket,medium,10,harm_aware_greedy_blocking,125.59999999999982,0.9351259489302968,-1.3999999999999773,-0.1041597653554176,0.05000000000002558,-0.10098516218081421
moderate_large_circles,high_degree,high,constant,high,10,harm_aware_greedy_blocking,178.65000000000026,1.5605614973262036,-1.3499999999999943,0.0017346256684491745,-2.400000000000034,0.03802139037433072
moderate_large_circles,community_concentrated,medium,bucket,high,10,harm_aware_resilience_greedy_blocking,125.47500000000014,1.1265240641711234,-1.34999999999998,0.0050534759358285,-0.07499999999998863,0.013315508021390254
moderate_large_circles,high_degree,high,constant,medium,10,harm_aware_greedy_blocking,120.09999999999984,1.0296791443850264,-1.2499999999999858,-0.023101604278074728,-0.15000000000000568,0.04086898395721916
moderate_large_circles,high_degree,medium,constant,high,10,harm_aware_resilience_greedy_blocking,115.72500000000012,1.064207887700535,-1.125,-0.026671122994652574,-0.5999999999999801,0.04842914438502688
moderate_large_circles,community_concentrated,high,constant,high,10,harm_aware_resilience_greedy_blocking,176.85000000000025,1.5182085561497338,-1.125,-0.023502673796791385,0.0,-0.003689839572192488
moderate_large_circles,community_concentrated,medium,constant,high,10,harm_aware_resilience_greedy_blocking,113.2500000000001,1.0022727272727274,-1.0499999999999972,-0.07508021390374342,-1.2749999999999773,-0.06626671122994665
large_circles,high_degree,medium,constant,high,10,harm_aware_greedy_blocking,100.65000000000006,0.7358258928571428,-0.9750000000000227,-0.16808035714285718,-2.1000000000000227,-0.14360119047619047
moderate_large_circles,high_degree,medium,bucket,high,10,harm_aware_greedy_blocking,126.37500000000014,1.1703208556149731,-0.9749999999999943,-0.05534759358288799,-1.875,0.026510695187165423
moderate_large_circles,high_degree,high,constant,high,10,harm_aware_resilience_greedy_blocking,179.02500000000026,1.5085828877005356,-0.9749999999999943,-0.05024398395721885,-2.025000000000034,-0.013957219251337305
large_circles,high_degree,high,bucket,medium,10,harm_aware_resilience_greedy_blocking,126.19999999999982,1.027463768115942,-0.799999999999983,-0.01182194616977239,0.6500000000000199,-0.008647342995169005
large_circles,community_concentrated,high,bucket,medium,10,harm_aware_greedy_blocking,110.34999999999984,0.8799603174603174,-0.75,0.027803226363008915,-0.6500000000000483,-0.08333333333333337
moderate_large_circles,high_degree,medium,bucket,high,10,harm_aware_resilience_greedy_blocking,126.82500000000012,1.2450802139037431,-0.5250000000000199,0.019411764705882018,-1.4250000000000256,0.10127005347593543
large_circles,high_degree,medium,constant,medium,10,harm_aware_resilience_greedy_blocking,68.5,0.5743055555555555,-0.44999999999998863,0.011348128019323611,1.1999999999999886,0.009920634920634885
moderate_large_circles,high_degree,medium,constant,medium,10,harm_aware_greedy_blocking,76.94999999999999,0.7289705882352944,-0.39999999999997726,-0.010715240641711143,0.15000000000000568,0.01939171122994665
moderate_large_circles,community_concentrated,high,bucket,high,10,harm_aware_greedy_blocking,188.9250000000003,1.6127005347593597,-0.375,-0.03553475935828887,0.07500000000004547,0.06946524064171111
large_circles,community_concentrated,medium,constant,medium,10,harm_aware_resilience_greedy_blocking,52.35000000000002,0.4465277777777778,-0.29999999999999716,-0.038194444444444475,1.7000000000000028,-0.022817460317460292
moderate_large_circles,community_concentrated,high,bucket,medium,10,harm_aware_greedy_blocking,118.19999999999985,1.0127272727272725,-0.29999999999999716,0.022406417112299626,-0.09999999999999432,0.006524064171123056
moderate_large_circles,high_degree,medium,constant,high,10,harm_aware_greedy_blocking,116.55000000000013,1.1200267379679143,-0.29999999999999716,0.029147727272726742,0.22500000000002274,0.1042479946524062
