budget_requested,fairness_aware_greedy_blocking,greedy_blocking,no_intervention,pagerank_blocking,random_blocking,top_degree_blocking
5,53.520833333333336,53.479166666666664,62.020833333333336,54.229166666666664,58.5,52.854166666666664
10,45.520833333333336,45.395833333333336,62.020833333333336,46.520833333333336,56.25,46.0625
20,37.083333333333336,37.083333333333336,62.020833333333336,36.166666666666664,52.895833333333336,36.104166666666664
