ego_id,ego_label,matrix_role,community_source,seed_strategy,propagation_regime,p,severity_regime,severity_score,severity_label,base_harm_weight,propagation_mode,propagation_multiplier,budget_requested,budget_sanitized,budget_k,max_blockers_graph,greedy_pool_size,pool_may_limit_greedy_family,method,method_objective_family,mean_infected,std_infected,mean_infected_stderr,mean_total_harm,std_total_harm,mean_total_harm_stderr,mean_harm_per_node,mean_infection_rate,mean_worst_community_infection_rate,mean_worst_community_harm_rate,runtime_seconds,n_runs_eval,n_runs_greedy_oracle,blocked_nodes_json,seeds_json
17602896,medium_circles,primary,circles,high_degree,medium,0.03,low,0.15,low,1.0,constant,1.0,10,10,10,151,18,False,top_degree_blocking,heuristic_baseline,44.875,7.001151978943041,1.2376405101070602,44.875,7.001151978943041,1.2376405101070602,0.27872670807453415,0.27872670807453415,0.34710067801955213,0.34710067801955213,0.02492,32,32,"[7081402, 14220046, 14824849, 18671559, 19637934, 22677790, 31353077, 48410093, 92367751, 105570240]","[14506253, 15485441, 16312576, 17446621, 19678610, 20108560, 27942809, 33051095, 50735431, 115485051]"
17602896,medium_circles,primary,circles,high_degree,medium,0.03,low,0.15,low,1.0,constant,1.0,10,10,10,151,18,False,pagerank_blocking,heuristic_baseline,44.8125,7.879894792158324,1.3929817606429278,44.8125,7.879894792158324,1.3929817606429278,0.2783385093167702,0.2783385093167702,0.337876458530432,0.337876458530432,0.02456,32,32,"[7081402, 14075928, 14220046, 14824849, 18671559, 19637934, 22677790, 31353077, 92367751, 105570240]","[14506253, 15485441, 16312576, 17446621, 19678610, 20108560, 27942809, 33051095, 50735431, 115485051]"
17602896,medium_circles,primary,circles,high_degree,medium,0.03,low,0.15,low,1.0,constant,1.0,10,10,10,151,18,False,greedy_blocking,binary_objective,45.4375,8.15549488223698,1.4417014337904879,45.4375,8.15549488223698,1.4417014337904879,0.2822204968944099,0.2822204968944099,0.3808045569221066,0.3808045569221066,0.02496,32,32,"[7081402, 14220046, 14824849, 18671559, 18713254, 19637934, 22677790, 31353077, 48410093, 105570240]","[14506253, 15485441, 16312576, 17446621, 19678610, 20108560, 27942809, 33051095, 50735431, 115485051]"
17602896,medium_circles,primary,circles,high_degree,medium,0.03,low,0.15,low,1.0,constant,1.0,10,10,10,151,18,False,fairness_aware_greedy_blocking,binary_objective,44.53125,7.029818402646939,1.2427080657554084,44.53125,7.029818402646939,1.2427080657554084,0.2765916149068323,0.2765916149068323,0.35351624093345946,0.35351624093345946,0.02421,32,32,"[7081402, 14220046, 14824849, 18671559, 19637934, 22677790, 31353077, 48410093, 62290422, 105570240]","[14506253, 15485441, 16312576, 17446621, 19678610, 20108560, 27942809, 33051095, 50735431, 115485051]"
17602896,medium_circles,primary,circles,high_degree,medium,0.03,low,0.15,low,1.0,constant,1.0,10,10,10,151,18,False,harm_aware_greedy_blocking,harm_objective,45.96875,8.07019356605208,1.4266221490108677,45.96875,8.07019356605208,1.4266221490108677,0.2855201863354037,0.2855201863354037,0.36122280037842946,0.36122280037842946,0.02529,32,32,"[7081402, 14075928, 14220046, 14824849, 18671559, 18713254, 22677790, 26642006, 92367751, 105570240]","[14506253, 15485441, 16312576, 17446621, 19678610, 20108560, 27942809, 33051095, 50735431, 115485051]"
17602896,medium_circles,primary,circles,high_degree,medium,0.03,low,0.15,low,1.0,constant,1.0,10,10,10,151,18,False,harm_aware_resilience_greedy_blocking,harm_objective,46.65625,7.760983372178155,1.371960992785803,46.65625,7.760983372178155,1.371960992785803,0.28979037267080743,0.28979037267080743,0.39932198044780826,0.39932198044780826,0.02556,32,32,"[7081402, 14220046, 14497313, 18671559, 19637934, 22677790, 26642006, 31353077, 48410093, 92367751]","[14506253, 15485441, 16312576, 17446621, 19678610, 20108560, 27942809, 33051095, 50735431, 115485051]"
17602896,medium_circles,primary,circles,high_degree,medium,0.03,low,0.15,low,1.0,constant,1.0,20,20,0,151,18,True,no_intervention,heuristic_baseline,59.625,10.484243169571645,1.853369860203213,59.625,10.484243169571645,1.853369860203213,0.3703416149068323,0.3703416149068323,0.4448912015137181,0.4448912015137181,0.03438,32,32,[],"[14506253, 15485441, 16312576, 17446621, 19678610, 20108560, 27942809, 33051095, 50735431, 115485051]"
17602896,medium_circles,primary,circles,high_degree,medium,0.03,low,0.15,low,1.0,constant,1.0,20,20,20,151,18,True,random_blocking,heuristic_baseline,49.15625,7.886736006657613,1.3941911279339274,49.15625,7.886736006657613,1.3941911279339274,0.30531832298136646,0.30531832298136646,0.33086959949542727,0.33086959949542727,0.02721,32,32,"[6539592, 12986812, 13992132, 14106578, 14824849, 14948334, 16590125, 18671559, 19362341, 19404587, 19554706, 23737582, 28223477, 75641903, 92367751, 144003355, 237930644, 251496825, 407977463, 498189324]","[14506253, 15485441, 16312576, 17446621, 19678610, 20108560, 27942809, 33051095, 50735431, 115485051]"
17602896,medium_circles,primary,circles,high_degree,medium,0.03,low,0.15,low,1.0,constant,1.0,20,20,20,151,18,True,top_degree_blocking,heuristic_baseline,36.53125,6.932785015022183,1.2255548241576664,36.53125,6.932785015022183,1.2255548241576664,0.2269021739130435,0.2269021739130435,0.29375591296121095,0.29375591296121095,0.01956,32,32,"[7081402, 14075928, 14220046, 14497313, 14824849, 18671559, 18713254, 19058681, 19637934, 22677790, 23697509, 26642006, 31353077, 44039298, 48410093, 50374439, 62290422, 92367751, 96164737, 105570240]","[14506253, 15485441, 16312576, 17446621, 19678610, 20108560, 27942809, 33051095, 50735431, 115485051]"
17602896,medium_circles,primary,circles,high_degree,medium,0.03,low,0.15,low,1.0,constant,1.0,20,20,20,151,18,True,pagerank_blocking,heuristic_baseline,36.53125,6.932785015022183,1.2255548241576664,36.53125,6.932785015022183,1.2255548241576664,0.2269021739130435,0.2269021739130435,0.29375591296121095,0.29375591296121095,0.01963,32,32,"[7081402, 14075928, 14220046, 14497313, 14824849, 18671559, 18713254, 19058681, 19637934, 22677790, 23697509, 26642006, 31353077, 44039298, 48410093, 50374439, 62290422, 92367751, 96164737, 105570240]","[14506253, 15485441, 16312576, 17446621, 19678610, 20108560, 27942809, 33051095, 50735431, 115485051]"
